time,frequency,confidence
0.000,174.425,0.187233
0.010,174.936,0.172720
0.020,176.136,0.171217
0.030,57.979,0.312795
0.040,58.930,0.121112
0.050,61.619,0.512825
0.060,61.616,0.262381
0.070,61.596,0.240615
0.080,60.548,0.487094
0.090,60.442,0.484437
0.100,60.602,0.593689
0.110,59.833,0.645669
0.120,59.326,0.558789
0.130,59.226,0.606766
0.140,59.222,0.665985
0.150,59.802,0.684026
0.160,59.417,0.744402
0.170,59.404,0.736802
0.180,60.209,0.642609
0.190,60.396,0.640536
0.200,60.619,0.741315
0.210,59.825,0.754682
0.220,59.676,0.744588
0.230,59.781,0.713686
0.240,59.711,0.667711
0.250,60.027,0.728796
0.260,59.999,0.714385
0.270,59.972,0.660315
0.280,59.861,0.673577
0.290,59.691,0.623609
0.300,59.985,0.666920
0.310,59.474,0.658475
0.320,59.311,0.613158
0.330,59.267,0.558102
0.340,58.716,0.620852
0.350,58.759,0.471864
0.360,60.869,0.358229
0.370,60.686,0.286373
0.380,60.618,0.238815
0.390,57.733,0.466601
0.400,59.993,0.339258
0.410,61.589,0.334872
0.420,60.940,0.219566
0.430,58.625,0.363591
0.440,57.988,0.426559
0.450,59.339,0.428783
0.460,59.682,0.653961
0.470,59.277,0.665859
0.480,60.531,0.550101
0.490,60.563,0.626942
0.500,60.220,0.684425
0.510,59.452,0.724301
0.520,59.683,0.713783
0.530,60.004,0.700761
0.540,59.754,0.697573
0.550,59.459,0.609107
0.560,59.387,0.580990
0.570,59.365,0.583157
0.580,59.742,0.534157
0.590,59.787,0.435387
0.600,258.109,0.256924
0.610,257.920,0.264256
0.620,257.507,0.353582
0.630,256.805,0.357007
0.640,61.703,0.423200
0.650,254.683,0.328025
0.660,253.563,0.357369
0.670,253.088,0.450956
0.680,253.431,0.420117
0.690,61.190,0.300379
0.700,60.105,0.435365
0.710,59.563,0.510369
0.720,59.630,0.372257
0.730,60.811,0.271813
0.740,60.184,0.313977
0.750,59.582,0.383258
0.760,59.381,0.432265
0.770,60.061,0.308773
0.780,61.488,0.384398
0.790,61.316,0.385455
0.800,58.677,0.387335
0.810,58.702,0.566962
0.820,60.487,0.321468
0.830,60.488,0.265887
0.840,58.814,0.390671
0.850,57.926,0.371162
0.860,201.931,0.271249
0.870,199.985,0.251709
0.880,184.374,0.142501
0.890,58.048,0.202845
0.900,58.021,0.227281
0.910,179.201,0.142955
0.920,60.113,0.170668
0.930,60.621,0.669895
0.940,60.450,0.478978
0.950,59.545,0.264456
0.960,181.057,0.406861
0.970,61.046,0.384065
0.980,61.002,0.646183
0.990,59.968,0.663153
1.000,59.270,0.645393
1.010,59.718,0.578296
1.020,60.114,0.589984
1.030,60.150,0.649710
1.040,59.473,0.654576
1.050,59.717,0.579308
1.060,60.383,0.588228
1.070,60.774,0.638623
1.080,60.308,0.700355
1.090,59.753,0.656609
1.100,59.717,0.712621
1.110,59.852,0.676143
1.120,59.706,0.717606
1.130,59.804,0.776127
1.140,59.773,0.750560
1.150,60.015,0.741716
1.160,60.572,0.734543
1.170,60.363,0.647729
1.180,59.914,0.728494
1.190,59.389,0.701561
1.200,59.793,0.667464
1.210,60.207,0.641052
1.220,59.976,0.692281
1.230,59.783,0.758542
1.240,59.900,0.714023
1.250,60.208,0.700801
1.260,60.584,0.725387
1.270,60.014,0.700253
1.280,59.720,0.755969
1.290,59.759,0.716574
1.300,59.832,0.733724
1.310,60.101,0.705822
1.320,59.780,0.717895
1.330,59.743,0.730928
1.340,59.737,0.690452
1.350,59.816,0.739691
1.360,60.155,0.699102
1.370,60.106,0.669052
1.380,60.118,0.704106
1.390,60.345,0.640759
1.400,60.082,0.704551
1.410,60.380,0.692869
1.420,59.499,0.722069
1.430,59.495,0.722698
1.440,59.941,0.700888
1.450,60.112,0.728883
1.460,60.441,0.743031
1.470,59.755,0.743232
1.480,59.538,0.755869
1.490,59.806,0.688539
1.500,59.874,0.718653
1.510,60.150,0.709390
1.520,59.780,0.695710
1.530,59.871,0.742124
1.540,59.854,0.718816
1.550,60.040,0.727780
1.560,60.532,0.746376
1.570,60.110,0.704424
1.580,59.890,0.739733
1.590,60.103,0.656503
1.600,59.925,0.699530
1.610,60.048,0.707779
1.620,59.465,0.705512
1.630,59.703,0.706002
1.640,60.174,0.666040
1.650,59.824,0.742441
1.660,59.917,0.695160
1.670,59.953,0.617146
1.680,60.493,0.679797
1.690,60.269,0.688326
1.700,59.371,0.793476
1.710,59.348,0.733285
1.720,59.425,0.654484
1.730,60.353,0.672549
1.740,60.470,0.711479
1.750,59.837,0.779603
1.760,59.901,0.727544
1.770,60.002,0.678154
1.780,60.415,0.708111
1.790,60.237,0.679990
1.800,59.420,0.732297
1.810,59.683,0.667696
1.820,59.769,0.648268
1.830,60.456,0.696416
1.840,60.381,0.699844
1.850,59.646,0.747706
1.860,59.811,0.677916
1.870,60.084,0.610140
1.880,60.558,0.695139
1.890,60.520,0.680815
1.900,59.706,0.728479
1.910,59.742,0.691050
1.920,59.733,0.651118
1.930,60.158,0.715512
1.940,59.944,0.744187
1.950,59.377,0.764216
1.960,59.451,0.470358
1.970,62.028,0.307142
1.980,62.082,0.383185
1.990,61.872,0.278067
2.000,60.372,0.336078
2.010,60.576,0.548919
2.020,60.755,0.614068
2.030,60.427,0.643196
2.040,59.637,0.698772
2.050,59.010,0.808524
2.060,59.406,0.719736
2.070,61.036,0.311738
2.080,61.797,0.197530
2.090,165.977,0.152244
2.100,146.280,0.122530
2.110,144.745,0.173124
2.120,142.638,0.282269
2.130,139.676,0.695344
2.140,139.201,0.862919
2.150,139.242,0.876418
2.160,139.974,0.774064
2.170,141.895,0.749354
2.180,142.613,0.843119
2.190,143.201,0.831104
2.200,143.607,0.835850
2.210,144.217,0.846374
2.220,144.629,0.828179
2.230,144.798,0.831191
2.240,145.501,0.899359
2.250,146.480,0.891017
2.260,146.978,0.926626
2.270,147.014,0.911557
2.280,146.649,0.868229
2.290,145.601,0.870285
2.300,144.583,0.831179
2.310,143.625,0.805775
2.320,142.955,0.841597
2.330,142.521,0.865868
2.340,142.814,0.847036
2.350,143.287,0.846866
2.360,143.925,0.879865
2.370,144.439,0.874280
2.380,144.775,0.832854
2.390,145.485,0.853763
2.400,146.309,0.843802
2.410,147.150,0.887198
2.420,148.092,0.898170
2.430,148.601,0.853602
2.440,148.896,0.865869
2.450,148.793,0.878184
2.460,148.773,0.875757
2.470,148.243,0.877386
2.480,147.942,0.876248
2.490,147.884,0.887767
2.500,147.450,0.887644
2.510,147.546,0.886340
2.520,147.585,0.905776
2.530,147.422,0.900471
2.540,147.271,0.894829
2.550,147.019,0.864006
2.560,146.616,0.760834
2.570,146.608,0.711783
2.580,146.760,0.728139
2.590,147.005,0.779998
2.600,147.209,0.844269
2.610,147.595,0.847029
2.620,147.738,0.829561
2.630,147.827,0.844706
2.640,147.647,0.839992
2.650,147.622,0.843004
2.660,147.808,0.853609
2.670,147.834,0.860382
2.680,147.797,0.817474
2.690,147.811,0.854250
2.700,147.746,0.852392
2.710,147.402,0.838671
2.720,147.422,0.851656
2.730,147.734,0.863991
2.740,147.974,0.844501
2.750,147.734,0.851919
2.760,147.543,0.871433
2.770,147.453,0.867339
2.780,147.525,0.868229
2.790,147.243,0.841619
2.800,147.043,0.863331
2.810,147.285,0.869674
2.820,147.684,0.848773
2.830,147.506,0.854999
2.840,147.357,0.877003
2.850,147.804,0.866105
2.860,148.197,0.849520
2.870,148.764,0.810083
2.880,149.725,0.860163
2.890,150.240,0.882228
2.900,150.598,0.907210
2.910,151.271,0.916895
2.920,151.449,0.901682
2.930,151.516,0.903556
2.940,151.417,0.914877
2.950,151.721,0.894794
2.960,151.523,0.909272
2.970,151.155,0.910379
2.980,150.749,0.907375
2.990,150.433,0.906211
3.000,149.706,0.897694
3.010,149.319,0.909771
3.020,148.931,0.897076
3.030,148.704,0.909090
3.040,148.539,0.893704
3.050,148.449,0.883191
3.060,148.640,0.885102
3.070,148.459,0.884150
3.080,148.598,0.869204
3.090,148.732,0.884560
3.100,148.866,0.909910
3.110,149.247,0.901956
3.120,149.305,0.923100
3.130,148.865,0.909184
3.140,148.399,0.894638
3.150,148.412,0.896258
3.160,148.316,0.900505
3.170,148.219,0.908643
3.180,147.990,0.899071
3.190,147.087,0.897441
3.200,145.907,0.864452
3.210,144.528,0.821701
3.220,143.820,0.815959
3.230,143.480,0.789475
3.240,143.045,0.820665
3.250,143.174,0.813778
3.260,143.739,0.822334
3.270,144.383,0.825484
3.280,145.395,0.800139
3.290,146.358,0.830549
3.300,147.491,0.913168
3.310,148.976,0.879461
3.320,150.283,0.881278
3.330,151.054,0.906693
3.340,151.447,0.908643
3.350,151.926,0.882019
3.360,152.607,0.891665
3.370,153.233,0.871061
3.380,153.094,0.843442
3.390,152.096,0.831389
3.400,150.986,0.866540
3.410,150.155,0.805836
3.420,149.391,0.834433
3.430,148.850,0.842852
3.440,148.411,0.859386
3.450,148.329,0.840309
3.460,148.649,0.849483
3.470,148.916,0.863331
3.480,149.745,0.846722
3.490,150.455,0.844636
3.500,151.045,0.873155
3.510,151.701,0.858091
3.520,153.044,0.873888
3.530,154.027,0.910837
3.540,154.040,0.915095
3.550,153.243,0.861223
3.560,151.998,0.859617
3.570,151.221,0.888818
3.580,150.782,0.896784
3.590,150.670,0.899193
3.600,150.364,0.896595
3.610,149.862,0.891456
3.620,149.440,0.885809
3.630,148.951,0.889846
3.640,148.901,0.893650
3.650,148.722,0.886574
3.660,148.951,0.900318
3.670,148.593,0.873545
3.680,148.448,0.868183
3.690,148.554,0.861795
3.700,148.719,0.889023
3.710,149.345,0.889142
3.720,150.373,0.852742
3.730,151.161,0.876074
3.740,152.234,0.881610
3.750,152.829,0.877937
3.760,152.689,0.869010
3.770,151.467,0.790786
3.780,149.580,0.588296
3.790,147.312,0.244792
3.800,146.875,0.161928
3.810,297.809,0.128751
3.820,60.131,0.196743
3.830,59.435,0.317985
3.840,58.915,0.120238
3.850,59.872,0.210840
3.860,60.602,0.419936
3.870,60.490,0.275773
3.880,60.637,0.301151
3.890,60.121,0.311553
3.900,59.995,0.253506
3.910,60.621,0.389476
3.920,58.671,0.169964
